Date,Open,High,Low,Close,Volume,OpenInt
2014-09-03,1.75,1.75,1.701,1.75,8000,0
2014-09-04,1.65,1.67,1.65,1.67,1759,0
2014-09-05,1.75,1.8,1.749,1.8,10900,0
2014-09-08,1.6001,1.85,1.599,1.8,23000,0
2014-09-09,1.8,1.85,1.75,1.75,16038,0
2014-09-10,1.8,1.85,1.75,1.85,7162,0
2014-09-11,1.84,1.9,1.8,1.85,19834,0
2014-09-12,1.891,2.097,1.86,1.9358,4571,0
2014-09-15,2.23,2.23,1.9863,1.9863,2200,0
2014-09-16,1.76,1.85,1.75,1.82,21140,0
2014-09-17,1.9501,1.9501,1.81,1.92,17250,0
2014-09-18,1.81,1.92,1.81,1.87,12300,0
2014-09-19,1.81,1.81,1.75,1.77,3500,0
2014-09-22,1.75,1.77,1.75,1.75,12550,0
2014-09-23,2.309,2.309,1.5,2.185,12875,0
2014-09-24,1.9504,1.98,1.9378,1.95,7700,0
2014-09-25,1.99,2.05,1.99,2.05,3500,0
2014-09-26,2,2,2,2,6000,0
2014-09-29,1.95,1.95,1.9499,1.9499,1000,0
2014-09-30,2,2,1.7,1.7,2800,0
2014-10-01,1.7001,1.701,1.5,1.6,19620,0
2014-10-02,1.81,1.98,1.6,1.85,12030,0
2014-10-03,1.7501,1.7501,1.75,1.75,4000,0
2014-10-06,1.6001,1.9,1.6001,1.9,4329,0
2014-10-07,1.74,1.9,1.6024,1.61,6560,0
2014-10-08,1.8,1.8,1.73,1.77,1200,0
2014-10-09,2,2,1.96,2,1610,0
2014-10-10,1.899,2,1.8581,1.88,6000,0
2014-10-13,1.8,1.9758,1.8,1.9758,3900,0
2014-10-15,1.97,1.97,1.6301,1.97,5100,0
2014-10-16,1.6201,1.97,1.6201,1.969,9060,0
2014-10-17,1.96,1.96,1.94,1.94,2700,0
2014-10-20,2,2,2,2,160,0
2014-10-21,2,2,1.96,1.96,4088,0
2014-10-22,2,2.25,1.62,2.246,9952,0
2014-10-23,2.12,2.25,1.9,2.166,8797,0
2014-10-24,2.4,2.4001,1.86,2,2420,0
2014-10-27,1.9999,2.2,1.9999,2.2,2300,0
2014-10-28,1.92,2.25,1.91,2,27242,0
2014-10-29,2.35,2.49,1.95,2.0816,1774,0
2014-10-30,2.25,2.54,2.0545,2.25,5400,0
2014-10-31,2.59,2.7,2.05,2.45,13400,0
2014-11-03,2.45,2.45,2.18,2.45,6600,0
2014-11-05,2.0901,2.5,2.0901,2.5,2600,0
2014-11-06,2.11,2.5,2.11,2.5,4600,0
2014-11-07,2.25,2.5,2.1001,2.5,9000,0
2014-11-10,2.5,2.58,2.2001,2.58,8240,0
2014-11-11,2.45,2.55,2.28,2.55,5871,0
2014-11-12,2.3,2.46,2.25,2.46,4800,0
2014-11-13,2.26,2.4506,2.26,2.29,1100,0
2014-11-14,2.25,2.39,2.25,2.38,21500,0
2014-11-17,2.26,2.5,2.25,2.3297,1700,0
2014-11-19,2.15,2.311,1.7414,2.25,23700,0
2014-11-20,2.3,2.3,1.9,2.252,26806,0
2014-11-21,2.29,2.3,1.95,1.95,13897,0
2014-11-24,1.949,2.24,1.949,2.24,17734,0
2014-11-25,2.229,2.23,1.93,2.1928,10920,0
2014-11-28,2.15,2.2,2.141,2.141,7414,0
2014-12-01,1.901,2.1722,1.5,2,22175,0
2014-12-02,1.82,1.99,1.75,1.75,16600,0
2014-12-03,1.7,1.9,1.65,1.77,8500,0
2014-12-04,1.76,1.78,1.68,1.78,11000,0
2014-12-05,1.78,1.78,1.77,1.78,3000,0
2014-12-08,1.74,1.78,1.73,1.78,9000,0
2014-12-09,1.98,1.98,1.87,1.87,3400,0
2014-12-10,1.99,2,1.5,1.5201,10000,0
2014-12-11,1.5,1.799,1.5,1.68,2200,0
2014-12-16,1.7,1.77,1.7,1.77,200,0
2014-12-17,1.75,1.75,1.75,1.75,800,0
2014-12-18,1.68,1.86,1.68,1.859,2700,0
2014-12-19,1.68,2,1.5999,2,12000,0
2014-12-22,2,2,1.5001,1.7,14200,0
2014-12-23,1.92,1.96,1.92,1.95,1600,0
2014-12-26,1.7921,1.98,1.7921,1.98,940,0
2014-12-30,1.7,1.76,1.55,1.76,2180,0
2014-12-31,1.8,2.06,1.7,2.059,2900,0
2015-01-02,1.8,1.86,1.8,1.86,400,0
2015-01-05,1.88,1.88,1.66,1.82,5800,0
2015-01-06,1.65,1.7,1.65,1.7,500,0
2015-01-07,1.7,1.7,1.69,1.7,300,0
2015-01-08,1.88,1.95,1.7,1.8,16800,0
2015-01-09,1.8,1.86,1.8,1.85,27125,0
2015-01-12,1.85,1.85,1.85,1.85,700,0
2015-01-13,1.85,1.85,1.75,1.775,4300,0
2015-01-14,1.7501,1.7501,1.75,1.75,3275,0
2015-01-15,1.62,1.62,1.6,1.6,550,0
2015-01-16,1.62,1.75,1.6,1.75,6650,0
2015-01-21,1.7299,1.73,1.72,1.73,31163,0
2015-01-22,1.6082,1.6082,1.6,1.6,3000,0
2015-01-23,1.75,1.75,1.55,1.55,13900,0
2015-01-26,1.7,1.75,1.7,1.75,1501,0
2015-01-27,1.71,1.77,1.5574,1.75,17200,0
2015-01-28,1.77,1.77,1.55,1.55,11090,0
2015-01-29,1.53,1.53,1.5,1.5001,4500,0
2015-01-30,1.6,1.6,1.6,1.6,100,0
2015-02-02,1.6,1.75,1.6,1.75,2200,0
2015-02-03,1.51,1.51,1.49,1.5,5210,0
2015-02-04,1.37,1.46,1.3,1.46,2250,0
2015-02-05,1.34,1.5,1.3,1.38,6460,0
2015-02-06,1.58,1.58,1.45,1.45,3000,0
2015-02-09,1.5,1.65,1.5,1.6,3600,0
2015-02-11,1.54,1.55,1.41,1.41,10360,0
2015-02-12,1.41,1.41,1.39,1.4,7800,0
2015-02-13,1.53,1.55,1.3,1.505,4614,0
2015-02-19,1.4,1.4,1.31,1.35,2700,0
2015-02-20,1.47,1.47,1.3005,1.35,1600,0
2015-02-23,1.4,1.4,1.4,1.4,500,0
2015-02-25,1.46,1.46,1.46,1.46,150,0
2015-02-26,1.4299,1.45,1.4299,1.4499,5000,0
2015-02-27,1.4095,1.45,1.4095,1.45,25000,0
2015-03-02,1.45,1.45,1.3,1.4,10700,0
2015-03-04,1.31,1.31,1.31,1.31,100,0
2015-03-05,1.4,1.4,1.3,1.3,2200,0
2015-03-06,1.4,1.54,1.4,1.54,800,0
2015-03-09,1.31,1.54,1.3,1.52,3200,0
2015-03-10,1.55,1.55,1.4,1.4,9000,0
2015-03-11,1.52,1.52,1.4,1.42,5200,0
2015-03-12,1.5,1.5,1.48,1.48,3800,0
2015-03-13,1.49,1.49,1.3,1.4,11700,0
2015-03-17,1.3,1.3,1.3,1.3,4300,0
2015-03-18,1.3,1.3,1.3,1.3,1400,0
2015-03-19,1.26,1.26,1.25,1.25,2000,0
2015-03-20,1.25,1.25,1.25,1.25,4200,0
2015-03-23,1.4,1.4,1.4,1.4,5000,0
2015-03-24,1.26,1.3,1.25,1.3,3000,0
2015-03-25,1.26,1.26,0.9,0.98,32000,0
2015-03-26,1.05,1.06,1.05,1.05,1000,0
2015-03-27,1.05,1.06,0.96,1,3100,0
2015-03-31,1.01,1.15,1,1.15,9400,0
2015-04-01,1.02,1.25,1.02,1.25,2400,0
2015-04-08,0.75,0.94,0.75,0.94,1000,0
2015-04-09,0.9992,0.9992,0.9992,0.9992,392,0
2015-04-10,1.2,1.47,0.8,0.81,1600,0
2015-04-13,1.3,1.3,1.3,1.3,200,0
2015-04-20,1,1,1,1,1500,0
2015-04-21,1.19,1.19,0.73,0.9,10616,0
2015-04-22,0.99,0.99,0.73,0.73,5600,0
2015-04-24,0.94,1,0.94,1,1000,0
2015-04-28,0.85,0.85,0.84,0.84,200,0
2015-04-29,1.01,1.01,0.96,0.96,6400,0
2015-04-30,0.96,0.96,0.96,0.96,1600,0
2015-05-01,0.92,1,0.92,1,3700,0
2015-05-04,1,1,0.75,0.75,800,0
2015-05-05,0.78,0.78,0.78,0.78,900,0
2015-05-06,0.8844,0.8844,0.8844,0.8844,5000,0
2015-05-07,0.84,0.87,0.84,0.85,700,0
2015-05-08,0.73,0.8,0.73,0.8,600,0
2015-05-14,0.87,0.87,0.87,0.87,1300,0
2015-05-15,1,1,0.97,1,3620,0
2015-05-18,1,1,0.8491,0.92,4417,0
2015-05-19,0.75,0.82,0.75,0.76,1400,0
2015-05-20,0.99,0.99,0.99,0.99,1000,0
2015-05-27,0.9,0.9,0.9,0.9,300,0
2015-05-28,0.75,0.75,0.75,0.75,1000,0
2015-05-29,0.75,0.75,0.7,0.75,4100,0
2015-06-02,0.62,0.8,0.61,0.8,3109,0
2015-06-03,0.83,0.83,0.83,0.83,4600,0
2015-06-19,0.81,0.9,0.81,0.89,1500,0
2015-06-22,0.89,0.89,0.89,0.89,1300,0
2015-06-23,0.89,0.89,0.87,0.89,1982,0
2015-06-24,0.9,0.9,0.9,0.9,1000,0
2015-06-25,0.89,0.89,0.89,0.89,6000,0
2015-06-30,0.75,0.89,0.75,0.89,2200,0
2015-07-07,0.89,0.89,0.89,0.89,1800,0
2015-07-08,0.88,0.88,0.66,0.66,11100,0
2015-07-09,0.87,0.88,0.87,0.88,1000,0
2015-07-10,0.9,0.99,0.9,0.99,22400,0
2015-07-13,0.66,0.66,0.66,0.66,400,0
2015-07-14,0.895,0.99,0.895,0.9,4400,0
2015-07-15,0.9,0.901,0.9,0.9,10444,0
2015-07-16,0.9,0.92,0.9,0.92,12400,0
2015-07-20,0.91,0.91,0.91,0.91,1400,0
2015-07-21,0.9,0.9,0.9,0.9,2000,0
2015-07-23,0.99,0.99,0.99,0.99,1000,0
2015-07-24,0.91,0.91,0.91,0.91,100,0
2015-07-27,0.9,0.99,0.9,0.99,4200,0
2015-07-28,0.91,0.94,0.9,0.94,2100,0
2015-07-31,0.99,1,0.99,1,10600,0
2015-08-03,1.25,1.25,1,1,4900,0
2015-08-04,1,1.1,1,1.1,400,0
2015-08-05,1.12,1.14,1.11,1.14,5400,0
2015-08-06,1.12,1.12,1,1,10001,0
2015-08-07,1,1,1,1,3500,0
2015-08-10,1.1,1.12,1.1,1.12,5000,0
2015-08-11,1,1.15,1,1.15,2110,0
2015-08-12,1,1,0.8,0.8,6200,0
2015-08-17,0.9,0.9,0.9,0.9,1800,0
2015-08-19,0.91,1,0.9,0.9,4000,0
2015-08-20,0.92,0.92,0.9,0.9,5000,0
2015-08-21,0.9,0.9,0.7,0.7,6000,0
2015-08-26,0.75,0.75,0.75,0.75,3500,0
2015-09-01,0.7,0.7,0.7,0.7,2000,0
2015-09-09,0.7,0.7,0.7,0.7,1000,0
2015-09-16,0.7,0.7,0.7,0.7,1000,0
2015-09-18,0.7,0.7,0.7,0.7,100,0
2015-09-24,0.7446,0.7446,0.7446,0.7446,1000,0
2015-09-28,0.7,0.7,0.7,0.7,2325,0
2015-09-30,0.7,0.7,0.7,0.7,1000,0
2015-10-01,0.74,0.74,0.7,0.7,2200,0
2015-10-05,0.7,0.7,0.7,0.7,1000,0
2015-10-06,0.7,0.7,0.7,0.7,600,0
2015-10-08,0.69,0.69,0.69,0.69,100,0
2015-10-26,0.66,0.76,0.66,0.76,1100,0
2015-11-05,0.95,0.99,0.95,0.99,1000,0
2015-11-12,0.76,0.76,0.66,0.67,1600,0
2015-11-16,0.71,0.77,0.66,0.77,2400,0
2015-11-24,0.74,0.74,0.66,0.66,5200,0
2015-11-25,0.69,0.69,0.66,0.69,3400,0
2015-12-02,0.7922,0.7922,0.6601,0.6601,5100,0
2015-12-03,0.66,0.6601,0.66,0.66,7296,0
2015-12-04,0.65,0.66,0.65,0.66,800,0
2015-12-08,0.6599,0.6599,0.6599,0.6599,200,0
2015-12-10,0.55,0.55,0.55,0.55,400,0
2015-12-14,0.6,0.6,0.51,0.51,200,0
2015-12-15,0.55,0.55,0.55,0.55,1000,0
2015-12-16,0.55,0.55,0.43,0.5,3200,0
2015-12-17,0.45,0.55,0.45,0.55,1200,0
2015-12-23,0.66,0.66,0.65,0.65,5000,0
2015-12-31,0.5,0.5,0.48,0.4801,1500,0
2016-01-04,0.45,0.45,0.45,0.45,100,0
2016-01-05,0.48,0.48,0.44,0.44,15630,0
2016-01-06,0.43,0.43,0.4,0.4,2700,0
2016-01-07,0.4,0.4,0.4,0.4,100,0
2016-01-08,0.26,0.6877,0.26,0.54,39195,0
2016-01-11,0.5,0.55,0.5,0.5,6600,0
2016-01-12,0.63,0.63,0.6,0.6,200,0
2016-01-13,0.65,0.805,0.6081,0.6081,3220,0
2016-01-15,0.65,0.65,0.5,0.5,34100,0
2016-01-19,0.5,0.5,0.5,0.5,100,0
2016-01-20,0.5,0.5,0.5,0.5,2100,0
2016-01-28,0.5,0.5,0.5,0.5,100,0
2016-02-02,0.5,0.5,0.5,0.5,5000,0
2016-02-05,0.6,0.6,0.6,0.6,100,0
2016-02-12,0.5,0.5,0.5,0.5,100,0
2016-02-26,0.5,0.5,0.5,0.5,2500,0
2016-02-29,0.5001,0.5001,0.5,0.5,9809,0
2016-03-02,0.97,0.97,0.549,0.6801,41700,0
2016-03-03,0.6,0.85,0.5299,0.78,88000,0
2016-03-04,0.85,0.85,0.532,0.7,45130,0
2016-03-07,0.8,0.8,0.7999,0.7999,1000,0
2016-03-08,0.8499,0.8499,0.8499,0.8499,1000,0
2016-03-14,0.5,0.6924,0.3001,0.6923,74508,0
2016-03-15,0.4846,0.8,0.4846,0.8,3005,0
2016-03-16,0.47,0.79,0.42,0.79,4401,0
2016-03-17,0.35,0.5843,0.33,0.36,17257,0
2016-03-18,0.39,0.71,0.38,0.4192,5605,0
2016-03-22,0.66,0.68,0.46,0.46,4800,0
2016-03-23,0.57,0.57,0.555,0.57,1050,0
2016-03-24,0.57,0.57,0.375,0.3751,6818,0
2016-03-28,0.4,0.4,0.39,0.39,1000,0
2016-03-29,0.37,0.52,0.37,0.49,4082,0
2016-03-31,0.6,0.6,0.6,0.6,1000,0
2016-04-01,0.599,0.599,0.589,0.589,10196,0
2016-04-04,0.55,0.55,0.54,0.54,3001,0
2016-04-05,0.49,0.49,0.49,0.49,600,0
2016-04-06,0.49,0.49,0.49,0.49,1000,0
2016-04-07,0.498,0.498,0.498,0.498,1300,0
2016-04-08,0.5,0.5,0.49,0.49,600,0
2016-04-12,0.47,0.47,0.47,0.47,1000,0
2016-04-13,0.45,0.45,0.27,0.448,2700,0
2016-04-18,0.494,0.494,0.494,0.494,979,0
2016-04-21,0.48,0.48,0.48,0.48,1000,0
2016-05-09,0.34,0.36,0.1669,0.25,64058,0
2016-05-10,0.25,0.321,0.25,0.3,12300,0
2016-05-11,0.33,0.33,0.3,0.3,1400,0
2016-05-12,0.32,0.32,0.32,0.32,5500,0
2016-05-13,0.34,0.34,0.34,0.34,600,0
2016-05-16,0.402,0.402,0.34,0.34,7300,0
2016-05-18,0.39,0.55,0.3636,0.3636,2800,0
2016-05-27,0.4,0.4,0.37,0.37,200,0
2016-05-31,0.37,0.37,0.36,0.36,200,0
2016-06-01,0.37,0.37,0.37,0.37,300,0
2016-06-06,0.45,0.49,0.45,0.49,1108,0
2016-06-07,0.489,0.96,0.48,0.83,3000,0
2016-06-08,0.789,0.789,0.789,0.789,100,0
2016-06-14,0.47,0.47,0.4,0.4,1000,0
2016-06-15,0.4,0.4,0.4,0.4,2500,0
2016-06-16,0.4,0.4,0.4,0.4,500,0
2016-06-24,0.5,0.5,0.45,0.45,200,0
2016-06-27,0.45,0.46,0.45,0.46,1000,0
2016-06-28,0.45,0.45,0.45,0.45,100,0
2016-07-11,0.59,0.59,0.59,0.59,200,0
2016-07-20,0.41,0.41,0.34,0.3432,7000,0
2016-07-21,0.4,0.4,0.4,0.4,100,0
2016-07-25,0.56,0.59,0.56,0.59,1295,0
2016-07-27,0.4,0.4,0.4,0.4,100,0
2016-08-01,0.59,0.59,0.59,0.59,893,0
2016-08-04,0.6,0.6,0.6,0.6,1000,0
2016-08-09,0.42,0.42,0.42,0.42,200,0
2016-08-11,0.42,0.42,0.42,0.42,2000,0
2016-08-15,0.46,0.46,0.42,0.42,1917,0
2016-08-18,0.46,0.46,0.34,0.34,1837,0
2016-08-19,0.44,0.5746,0.35,0.35,1031,0
2016-08-23,0.5,0.5,0.42,0.42,630,0
2016-08-30,0.4081,0.4081,0.4081,0.4081,1000,0
2016-09-07,0.4,0.58,0.34,0.41,6050,0
2016-09-08,0.48,0.58,0.4105,0.411,1700,0
2016-09-09,0.4409,0.4409,0.4,0.4,900,0
2016-09-15,0.45,0.45,0.45,0.45,4000,0
2016-09-27,0.4,0.4,0.34,0.34,400,0
2016-09-28,0.45,0.45,0.34,0.4,5500,0
2016-09-29,0.35,0.35,0.34,0.34,6000,0
2016-09-30,0.43,0.45,0.43,0.45,2000,0
2016-10-10,0.46,0.46,0.44,0.45,18702,0
2016-10-11,0.45,0.45,0.42,0.42,14700,0
2016-10-13,0.42,0.42,0.42,0.42,620,0
2016-10-17,0.47,0.47,0.4477,0.4477,1600,0
2016-10-18,0.45,0.4504,0.42,0.42,1600,0
2016-10-19,0.42,0.42,0.42,0.42,100,0
2016-10-20,0.42,0.44,0.42,0.44,7605,0
2016-10-21,0.45,0.45,0.34,0.34,3900,0
2016-10-24,0.44,0.54,0.408,0.408,740,0
2016-10-25,0.45,0.45,0.44,0.44,600,0
2016-10-26,0.42,0.42,0.42,0.42,100,0
2016-11-03,0.34,0.34,0.34,0.34,100,0
2016-11-04,0.345,0.345,0.345,0.345,100,0
2016-11-07,0.345,0.45,0.3432,0.3975,1524,0
2016-11-08,0.45,0.45,0.35,0.35,870,0
2016-11-09,0.45,0.45,0.44,0.45,300,0
2016-11-11,0.45,0.45,0.45,0.45,1000,0
2016-11-15,0.45,0.45,0.34,0.3401,8130,0
2016-11-18,0.45,0.46,0.4496,0.4596,1600,0
2016-11-22,0.58,0.58,0.35,0.35,2200,0
2016-11-23,0.46,0.4834,0.34,0.34,3000,0
2016-11-25,0.36,0.44,0.36,0.44,2099,0
2016-11-29,0.4706,0.4706,0.4684,0.4684,2500,0
2016-11-30,0.42,0.42,0.394,0.394,350,0
2016-12-01,0.49,0.49,0.4895,0.4895,1860,0
2016-12-05,0.49,0.49,0.49,0.49,5500,0
2016-12-06,0.5,0.59,0.45,0.45,23580,0
2016-12-07,0.38,0.38,0.38,0.38,600,0
2016-12-08,0.45,0.5851,0.445,0.5851,2340,0
2016-12-09,0.45,0.45,0.361,0.361,9120,0
2016-12-12,0.5,0.598,0.36,0.36,27355,0
2016-12-13,0.3999,0.4,0.34,0.34,15276,0
2016-12-14,0.44,0.45,0.44,0.4499,3867,0
2016-12-15,0.44,0.44,0.37,0.406,7400,0
2016-12-16,0.4,0.4,0.323,0.4,10600,0
2016-12-19,0.4,0.4715,0.382,0.4715,26977,0
2016-12-20,0.4305,0.4305,0.34,0.4,9650,0
2016-12-21,0.4,0.4,0.4,0.4,100,0
2016-12-22,0.4,0.4,0.4,0.4,100,0
2016-12-23,0.4,0.46,0.3936,0.4,21900,0
2016-12-27,0.4,0.4,0.3996,0.3996,5900,0
2016-12-28,0.3415,0.4,0.3415,0.4,5600,0
2016-12-29,0.6,0.6,0.35,0.458,7125,0
2016-12-30,0.44,0.45,0.21,0.325,33284,0
2017-01-03,0.46,0.48,0.31,0.38,3469,0
2017-01-04,0.48,0.49,0.46,0.49,2736,0
2017-01-06,0.63,0.63,0.5,0.5,3482,0
2017-01-09,0.5,0.5,0.5,0.5,7125,0
2017-01-10,0.6,0.65,0.546,0.64,18369,0
2017-01-11,0.6107,0.64,0.6107,0.64,6712,0
2017-01-12,0.35,0.35,0.35,0.35,2554,0
2017-01-13,0.5,0.5,0.5,0.5,980,0
2017-01-17,0.6,0.6,0.4027,0.52,6875,0
2017-01-18,0.52,0.6295,0.52,0.6295,1238,0
2017-01-19,0.65,0.65,0.61,0.61,4399,0
2017-01-20,0.63,0.7,0.6,0.6186,5819,0
2017-01-24,0.62,0.62,0.62,0.62,1169,0
2017-01-25,0.67,0.67,0.54,0.6,12764,0
2017-01-26,0.5838,0.7,0.55,0.55,4725,0
2017-01-27,0.6676,0.6676,0.46,0.62,7793,0
2017-01-31,0.61,0.61,0.5899,0.5899,1152,0
2017-02-01,0.59,0.7,0.59,0.7,1204,0
2017-02-03,0.508,0.68,0.508,0.68,4242,0
2017-02-06,0.68,0.68,0.68,0.68,1342,0
2017-02-07,0.67515,0.69,0.67515,0.69,3592,0
2017-02-08,0.7,0.7,0.7,0.7,130,0
2017-02-09,0.5,0.7,0.4718,0.56,12343,0
2017-02-10,0.57,0.5808,0.53,0.53,5651,0
2017-02-13,0.58,0.63,0.535,0.6,2201,0
2017-02-14,0.6,0.6,0.578,0.578,5404,0
2017-02-15,0.7,0.7,0.7,0.7,551,0
2017-02-16,0.7,0.7,0.7,0.7,350,0
2017-02-22,0.7,0.7,0.55,0.55,1920,0
2017-02-23,0.7,0.7,0.7,0.7,1000,0
2017-02-24,0.68,0.7,0.6464,0.7,6503,0
2017-02-27,0.56,0.7,0.56,0.7,5067,0
2017-03-01,0.7,0.7,0.688,0.7,2998,0
2017-03-02,0.68,0.68,0.68,0.68,100,0
2017-03-03,0.67,0.67,0.67,0.67,100,0
2017-03-06,0.6,0.68,0.5999,0.68,494,0
2017-03-08,0.66,0.66,0.66,0.66,400,0
2017-03-09,0.58,0.58,0.5585,0.56,3440,0
2017-03-10,0.66,0.67,0.65,0.65,3406,0
2017-03-14,0.5311,0.5311,0.5311,0.5311,2119,0
2017-03-15,0.64,0.65,0.4011,0.55,6948,0
2017-03-16,0.5775,0.5775,0.5775,0.5775,230,0
2017-03-17,0.62,0.62,0.62,0.62,100,0
2017-03-21,0.62,0.62,0.55,0.62,4100,0
2017-03-28,0.62,0.62,0.5894,0.5894,5489,0
2017-03-30,0.6452,0.6452,0.6452,0.6452,2511,0
2017-04-05,0.55,0.6331,0.55,0.5956,17952,0
2017-04-07,0.64,0.64,0.6399,0.6399,3001,0
2017-04-10,0.6328,0.6328,0.5698,0.595,13400,0
2017-04-11,0.61884,0.64,0.61884,0.61884,1100,0
2017-04-12,0.64,0.6499,0.64,0.6499,3404,0
2017-04-13,0.63,0.63,0.55,0.55,330,0
2017-04-17,0.59336,0.59336,0.59336,0.59336,1100,0
2017-04-18,0.62524,0.64,0.62524,0.632,4006,0
2017-04-19,0.65,0.65,0.65,0.65,5000,0
2017-04-21,0.4,0.4,0.4,0.4,2501,0
2017-04-24,0.62,0.62,0.62,0.62,5015,0
2017-04-26,0.42,0.58,0.41,0.58,15585,0
2017-04-27,0.58,0.58,0.5694,0.5694,4985,0
2017-04-28,0.6,0.6,0.56,0.5983,22013,0
2017-05-01,0.57138,0.64,0.57138,0.64,9464,0
2017-05-02,0.631,0.64,0.631,0.64,2200,0
2017-05-03,0.64,0.64,0.64,0.64,294,0
2017-05-04,0.6,0.6,0.6,0.6,148,0
2017-05-05,0.6,0.6,0.6,0.6,2351,0
2017-05-08,0.64,0.65,0.63,0.63,7682,0
2017-05-09,0.65,0.65,0.6499,0.6499,2000,0
2017-05-12,0.63,0.63,0.6299,0.6299,5000,0
2017-05-15,0.45,0.45,0.45,0.45,281,0
2017-05-16,0.585,0.65,0.5845,0.65,1500,0
2017-05-17,0.65,0.65,0.65,0.65,1829,0
2017-05-18,0.65,0.65,0.65,0.65,101,0
2017-05-19,0.65,0.65,0.45,0.65,1100,0
2017-05-22,0.65,0.65,0.6,0.6,252,0
2017-05-23,0.6,0.6,0.6,0.6,959,0
2017-05-24,0.6,0.6,0.6,0.6,1669,0
2017-05-25,0.481,0.65,0.481,0.65,4302,0
2017-05-26,0.6,0.6,0.5067,0.6,4111,0
2017-05-30,0.5999,0.6,0.46,0.46,2516,0
